id. Response_ID,submitdate. Date_submitted,lastpage. Last_page,startlanguage. Start_language,seed. Seed,Q00. Do_you_agree_to.._,G02Q02_SQ001. What_is_your_fa..__[Faculty_of_Phil.._],G02Q02_SQ002. What_is_your_fa..__[Faculty_of_Arts],G02Q02_SQ003. What_is_your_fa..__[School_of_Manag.._],G02Q02_SQ004. What_is_your_fa..__[Faculty_of_Medi.._],G02Q02_SQ005. What_is_your_fa..__[Faculty_of_Science],G02Q02_SQ006. What_is_your_fa..__[Faculty_of_Law],G02Q02_SQ007. What_is_your_fa..__[Faculty_of_Soci.._],G02Q03. How_familiar_ar.._,G01Q04. How_often_do_yo.._,G01Q05. How_often_do_yo.._,G02Q06. How_much_do_you.._,G02Q07. How_much_do_you.._,G01Q08. How_often_do_yo.._,G02Q09.  __How_accurate.._,G02Q10. Have_you_ever_e.._,G01Q11. Regarding_the_q.._,G01Q12. Have_you_ever_e.._,G01Q13. Regarding_the_q.._,G02Q14. Is_there_anythi.._,G03Q32. How_trustworthy.._,G03Q15. How_credible_do.._,G03Q31. Would_you_feel_.._,G03Q32CopyCopyCopy. How_trustworthy.._,G03Q27. How_credible_do.._,G03Q28. Would_you_feel_.._,G03Q19. How_credible_do.._,G03Q32CCopyCopy. How_trustworthy.._,G03Q20. Would_you_feel_.._,G03Q32Copy. How_trustworthy.._,G03Q17. How_credible_do.._,G03Q31Copy. Would_you_feel_.._,G03Q32CopyCopy. How_trustworthy.._,G03Q21. How_credible_do.._,G03Q31CC. Would_you_feel_.._,G03Q32CCCC. How_trustworthy.._,G03Q26CopyCopyCopy. How_credible_do.._,G03Q31CopyCopy. Would_you_feel_.._,G03Q32CCC. How_trustworthy.._,G03Q25Copy. How_credible_do.._,G03Q24CopyCopy. Would_you_feel_.._,G03Q32C. How_trustworthy.._,G03Q29. How_credible_do.._,G03Q30. Would_you_feel_.._,G03Q32CCopy. How_trustworthy.._,G03Qcopy. How_credible_do.._,G03Q30Copy. Would_you_feel_.._,G03Q32CC. How_trustworthy.._,G03Q23. How_credible_do.._,G03Q24. Would_you_feel_.._,G03Q32CCCopy. How_trustworthy.._,G03Q25. How_credible_do.._,G03Q24Copy. Would_you_feel_.._,G03Q25CopyCopy. How_credible_do.._,G03Q32CCCCopy. How_trustworthy.._,G03Q24C. Would_you_feel_.._,G03Q16. Do_you_believe_.._,G03Q16C. Do_you_believe_.._,G03Q18. Do_you_believe_.._,G03Q16Copy. Do_you_believe_.._,G03Q16CopyCopy. Do_you_believe_.._,G03Q26CopyCopy. Do_you_believe_.._,G03Q22. Do_you_believe_.._,G03Q16CCopy. Do_you_believe_.._,G03Q16CCopyCopy. Do_you_believe_.._,G03Q25CopyCopyCopy. Do_you_believe_.._,G03Q26. Do_you_believe_.._,G03Q26Copy. Do_you_believe_.._
3,1980-01-01 00:00:00,26.0,en,1890946885,Yes,No,No,Yes,No,No,No,No,4.0,Often,Often,5.0,4.0,Often,4.0,No,I can't think of a certain instance,No,"As a computer science student, I have often provided questions about my code not working and it doesn't seem to be able to fix it or even point out where the mistakes are. Also with many mathematical questions, it sometimes fails to provide the correct answer.",No.,3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,4.0,3.0,3.0,3.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,Yes
4,1980-01-01 00:00:00,26.0,en,301424371,Yes,No,No,No,No,Yes,No,No,5.0,Sometimes,Often,4.0,3.0,Always,3.0,No,"I don't believe so, usually the traditional academic sources are provided by the university so it never seems to be misleading or incorrect from my experience",Yes,"As a computer science student, I have often provided questions about my code not working and it doesn't seem to be able to fix it or even point out where the mistakes are. Also with many mathematical questions, it sometimes fails to provide the correct answer.",No.,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes
6,1980-01-01 00:00:00,26.0,en,955113437,Yes,No,No,No,No,Yes,No,No,5.0,Often,Always,5.0,3.0,Always,4.0,No,Traditional academic sources tend to have citations from where they can back up their claims which can be checked. Majority of paper go through a thorough checking process too,Yes,"It suffers from hallucinations, where it forgets the information it learnt from, and its black box nature doesn't quite make it feel like I should always trust it
",No.,5.0,5.0,2.0,5.0,5.0,5.0,2.0,4.0,2.0,3.0,3.0,2.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,2.0,5.0,4.0,4.0,5.0,5.0,5.0,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes
8,1980-01-01 00:00:00,26.0,en,268442849,Yes,No,No,No,No,No,Yes,No,4.0,Rarely,Often,5.0,5.0,Always,4.0,No,I can't think of a certain instance,No,"As a computer science student, I have often provided questions about my code not working and it doesn't seem to be able to fix it or even point out where the mistakes are. Also with many mathematical questions, it sometimes fails to provide the correct answer.",No.,3.0,5.0,1.0,4.0,4.0,4.0,1.0,1.0,1.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,2.0,2.0,1.0,3.0,3.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,1.0,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No
9,1980-01-01 00:00:00,26.0,en,1395776919,Yes,No,No,No,No,Yes,No,No,5.0,Sometimes,Often,5.0,3.0,Often,4.0,No,I can't think of a certain instance,Yes,"Chat gpt says one thing but then will change their mind after, can't seem to acknowledge properly when it's wrong ",No.,3.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.3333333333333335,3.5555555555555554,3.111111111111111,3.5555555555555554,3.5555555555555554,3.4444444444444446,3.0,3.0,3.0,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No
10,1980-01-01 00:00:00,26.0,en,270725961,Yes,No,No,Yes,No,No,No,No,5.0,Rarely,Always,4.0,3.0,Rarely,3.0,No,I can't think of a certain instance,Yes,"As a computer science student, I have often provided questions about my code not working and it doesn't seem to be able to fix it or even point out where the mistakes are. Also with many mathematical questions, it sometimes fails to provide the correct answer.",No.,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes
12,1980-01-01 00:00:00,26.0,en,1754216436,Yes,No,No,No,No,No,No,Yes,5.0,Always,Always,5.0,4.0,Sometimes,2.0,No,I can't think of a certain instance,Yes,"As a computer science student, I have often provided questions about my code not working and it doesn't seem to be able to fix it or even point out where the mistakes are. Also with many mathematical questions, it sometimes fails to provide the correct answer.",No.,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes
16,1980-01-01 00:00:00,26.0,en,497711950,Yes,No,No,No,No,No,No,Yes,5.0,Often,Always,5.0,3.0,Often,5.0,Yes,I can't think of a certain instance,Yes,"As a computer science student, I have often provided questions about my code not working and it doesn't seem to be able to fix it or even point out where the mistakes are. Also with many mathematical questions, it sometimes fails to provide the correct answer.",No.,5.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0,4.0,3.0,4.0,3.0,4.0,No,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No
17,1980-01-01 00:00:00,26.0,en,1069814979,Yes,No,No,No,No,No,No,Yes,5.0,Sometimes,Always,5.0,4.0,Sometimes,4.0,No,I can't think of a certain instance,Yes,I can't think of a certain instance,No.,5.0,4.0,3.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,2.0,4.0,1.0,5.0,5.0,5.0,5.0,3.0,2.0,4.0,4.0,2.0,2.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes
18,1980-01-01 00:00:00,26.0,en,265770184,Yes,No,No,No,No,Yes,No,No,5.0,Often,Often,5.0,2.0,Often,4.0,No,I can't think of a certain instance,Yes,"As a computer science student, I have often provided questions about my code not working and it doesn't seem to be able to fix it or even point out where the mistakes are. Also with many mathematical questions, it sometimes fails to provide the correct answer.",No.,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,1.0,4.0,5.0,2.0,5.0,5.0,5.0,3.0,4.0,2.0,2.0,3.0,1.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,No
